TIF Number,TIF District,Report Year,Vendor Name,Vendor Service,Payment
T-064,Northwest Industrial Corridor,2018,CHIA LLC,Acquisition,4802500
T-064,Northwest Industrial Corridor,2018,BK Chicago Ave.,Acquisition,4802500
T-130,Edgewater/Ashland,2018,"MCZ, LLC/MCZ Exchange",Acquisition,800000
T-147,LaSalle Central,2018,City Staff Costs,Administration,833575
T-147,LaSalle Central,2017,City Staff Costs,Administration,664727.48
T-052,Kinzie Industrial Corridor,2017,City Staff Costs,Administration,532441
T-052,Kinzie Industrial Corridor,2018,City Staff Costs,Administration,528268
T-030,Near North,2017,City Staff Costs,Administration,512581
T-063,Canal/Congress,2017,City Staff Costs,Administration,457852
T-037,River South,2017,City Staff Costs,Administration,447412
T-063,Canal/Congress,2018,City Staff Costs,Administration,434737
T-094,Chicago/Kingsbury,2017,City Staff Costs,Administration,419352
T-094,Chicago/Kingsbury,2018,City Staff Costs,Administration,401424
T-030,Near North,2018,City Staff Costs,Administration,397360
T-086,Central West,2017,City Staff Costs,Administration,353635
T-037,River South,2018,City Staff Costs,Administration,338030
T-086,Central West,2018,City Staff Costs,Administration,327625
T-104,River West,2018,City Staff Costs,Administration,305298
T-104,River West,2017,City Staff Costs,Administration,304402
T-095,Midwest,2017,City Staff Costs,Administration,263855
T-095,Midwest,2018,City Staff Costs,Administration,252619
T-053,Pilsen Industrial Corridor,2018,City Staff Costs,Administration,226980
T-053,Pilsen Industrial Corridor,2017,City Staff Costs,Administration,223467
T-180,Red Purple Modernization Phase One (Transit TIF),2018,City Staff Costs,Administration,214034
T-059,Calumet/Cermak,2017,City Staff Costs,Administration,199861
T-089,Midway Industrial Corridor,2017,City Staff Costs,Administration,188543
T-059,Calumet/Cermak,2018,City Staff Costs,Administration,184640
T-034,North Branch South,2018,City Staff Costs,Administration,154917
T-034,North Branch South,2017,City Staff Costs,Administration,147825
T-048,Western/Ogden,2017,City Staff Costs,Administration,143661
T-048,Western/Ogden,2018,City Staff Costs,Administration,138618
T-085,Western Avenue South,2017,City Staff Costs,Administration,127744
T-110,Wilson Yard,2017,City Staff Costs,Administration,126568
T-084,Western Avenue North,2017,City Staff Costs,Administration,126301
T-087,Fullerton/Milwaukee,2017,City Staff Costs,Administration,124261
T-110,Wilson Yard,2018,City Staff Costs,Administration,124208
T-085,Western Avenue South,2018,City Staff Costs,Administration,122964
T-064,Northwest Industrial Corridor,2017,City Staff Costs,Administration,118729
T-001,35th/Halsted,2017,City Staff Costs,Administration,117442
T-084,Western Avenue North,2018,City Staff Costs,Administration,117221
T-118,47th/King Drive,2017,City Staff Costs,Administration,115637
T-064,Northwest Industrial Corridor,2018,City Staff Costs,Administration,115279
T-001,35th/Halsted,2018,City Staff Costs,Administration,114557
T-180,Red Purple Modernization Phase One (Transit TIF),2017,City Staff Costs,Administration,114411
T-101,Jefferson/Roosevelt,2017,City Staff Costs,Administration,113031
T-088,Lawrence/Kedzie,2017,City Staff Costs,Administration,108168
T-101,Jefferson/Roosevelt,2018,City Staff Costs,Administration,107792
T-118,47th/King Drive,2018,City Staff Costs,Administration,106096
T-088,Lawrence/Kedzie,2018,City Staff Costs,Administration,103103
T-115,Chicago/Central Park,2017,City Staff Costs,Administration,96029
T-115,Chicago/Central Park,2018,City Staff Costs,Administration,94790
T-068,Roosevelt/Union,2017,City Staff Costs,Administration,89957
T-033,North Branch North,2017,City Staff Costs,Administration,87096
T-081,Belmont/Central,2018,City Staff Costs,Administration,86097
T-023,Goose Island,2017,City Staff Costs,Administration,84357
T-033,North Branch North,2018,City Staff Costs,Administration,83238
T-068,Roosevelt/Union,2018,City Staff Costs,Administration,79007
T-023,Goose Island,2018,City Staff Costs,Administration,77427
T-105,53rd Street,2018,City Staff Costs,Administration,69944
T-106,Englewood Neighborhood,2017,City Staff Costs,Administration,67440
T-105,53rd Street,2017,City Staff Costs,Administration,67063
T-125,119th/I-57,2017,City Staff Costs,Administration,63893
T-109,Lawrence/Broadway,2017,City Staff Costs,Administration,62657
T-150,Addison South,2017,City Staff Costs,Administration,61901
T-106,Englewood Neighborhood,2018,City Staff Costs,Administration,61750
T-109,Lawrence/Broadway,2018,City Staff Costs,Administration,60772
T-069,Pulaski Industrial Corridor,2018,City Staff Costs,Administration,58925
T-089,Midway Industrial Corridor,2018,City Staff Costs,Administration,57972
T-069,Pulaski Industrial Corridor,2017,City Staff Costs,Administration,57972
T-108,Humboldt Park Commercial,2017,City Staff Costs,Administration,57795
T-070,Clark/Montrose,2017,City Staff Costs,Administration,56342
T-125,119th/I-57,2018,City Staff Costs,Administration,56084
T-108,Humboldt Park Commercial,2018,City Staff Costs,Administration,55746
T-071,Galewood/Armitage Industrial,2018,City Staff Costs,Administration,55133
T-054,Stony Island Commercial/Burnside Industrial,2017,City Staff Costs,Administration,55123
T-054,Stony Island Commercial/Burnside Industrial,2018,City Staff Costs,Administration,52809
T-070,Clark/Montrose,2018,City Staff Costs,Administration,51898
T-149,Stevenson Brighton,2018,City Staff Costs,Administration,51310
T-055,43rd/Cottage Grove,2018,City Staff Costs,Administration,50944
T-121,47th/Halsted,2017,City Staff Costs,Administration,49949
T-061,Bronzeville,2017,City Staff Costs,Administration,49289
T-038,Roosevelt/Cicero Industrial Corridor,2017,City Staff Costs,Administration,49221
T-077,Lincoln Avenue,2017,City Staff Costs,Administration,48866
T-055,43rd/Cottage Grove,2017,City Staff Costs,Administration,48724
T-065,Woodlawn,2018,City Staff Costs,Administration,48383
T-103,Lake Calumet Area Industrial,2018,City Staff Costs,Administration,48189
T-077,Lincoln Avenue,2018,City Staff Costs,Administration,48163
T-103,Lake Calumet Area Industrial,2017,City Staff Costs,Administration,47430
T-071,Galewood/Armitage Industrial,2017,City Staff Costs,Administration,47196
T-036,Read/Dunning,2017,City Staff Costs,Administration,46701
T-038,Roosevelt/Cicero Industrial Corridor,2018,City Staff Costs,Administration,45389
T-060,71st/Stony Island,2018,City Staff Costs,Administration,44521
T-121,47th/Halsted,2018,City Staff Costs,Administration,44117
T-060,71st/Stony Island,2017,City Staff Costs,Administration,42866
T-081,Belmont/Central,2017,City Staff Costs,Administration,42647
T-131,35th/State,2017,City Staff Costs,Administration,42332
T-036,Read/Dunning,2018,City Staff Costs,Administration,41418
T-076,Devon/Western,2018,City Staff Costs,Administration,41346
T-058,Portage Park,2018,City Staff Costs,Administration,39354
T-117,47th/Ashland,2017,City Staff Costs,Administration,38973
T-087,Fullerton/Milwaukee,2018,City Staff Costs,Administration,38075
T-149,Stevenson Brighton,2017,City Staff Costs,Administration,37957
T-117,47th/Ashland,2018,City Staff Costs,Administration,37508
T-074,Clark/Ridge,2017,City Staff Costs,Administration,35027
T-076,Devon/Western,2017,City Staff Costs,Administration,34957
